Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.47     0.00  1179726     0.00     0.00  dlib::matrix_exp<dlib::matrix_subtract_exp<dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::ref() const
  0.00      0.47     0.00   911905     0.00     0.00  dlib::row_major_layout::layout<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, 5>::operator()(long, long) const
  0.00      0.47     0.00   911905     0.00     0.00  dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::operator()(long, long) const
  0.00      0.47     0.00   823452     0.00     0.00  dlib::row_major_layout::layout<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, 3>::operator()(long, long) const
  0.00      0.47     0.00   823452     0.00     0.00  dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::operator()(long, long) const
  0.00      0.47     0.00   773640     0.00     0.00  dlib::row_major_layout::layout<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, 5>::nc() const
  0.00      0.47     0.00   637926     0.00     0.00  dlib::noncopyable::noncopyable()
  0.00      0.47     0.00   637926     0.00     0.00  dlib::noncopyable::~noncopyable()
  0.00      0.47     0.00   600728     0.00     0.00  dlib::matrix_exp<dlib::matrix<double, 1l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >::matrix_exp()
  0.00      0.47     0.00   600728     0.00     0.00  dlib::row_major_layout::layout<double, 1l, 1l, dlib::memory_manager_stateless_kernel_1<char>, 1>::set_size(long, long)
  0.00      0.47     0.00   600728     0.00     0.00  dlib::row_major_layout::layout<double, 1l, 1l, dlib::memory_manager_stateless_kernel_1<char>, 1>::~layout()
  0.00      0.47     0.00   600728     0.00     0.00  dlib::row_major_layout::layout<double, 1l, 1l, dlib::memory_manager_stateless_kernel_1<char>, 1>::operator()(long)
  0.00      0.47     0.00   600728     0.00     0.00  dlib::matrix<double, 1l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::~matrix()
